# ----------------------------------------
# HowBadIsMyBatch
# Batchcode By Country-Country By Batchcode Search Term
# 20230211-20230411
# ----------------------------------------

Land,United States,Germany,Canada,Italy,United Kingdom,Japan,Brazil,Australia,Poland,Austria,Hungary,Netherlands,Romania,France,Switzerland,Spain,Sweden,Philippines,New Zealand,Mexico,Gesamt
Batchcode Search Term,Ereignisanzahl,Ereignisanzahl,Ereignisanzahl,Ereignisanzahl,Ereignisanzahl,Ereignisanzahl,Ereignisanzahl,Ereignisanzahl,Ereignisanzahl,Ereignisanzahl,Ereignisanzahl,Ereignisanzahl,Ereignisanzahl,Ereignisanzahl,Ereignisanzahl,Ereignisanzahl,Ereignisanzahl,Ereignisanzahl,Ereignisanzahl,Ereignisanzahl,Ereignisanzahl
EK9788,0,14,0,6,0,0,0,0,1,1,0,0,1,0,4,1,0,1,0,0,33
EL1284,31,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33
EL9264,31,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33
EL9269,32,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33
ER1742,3,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,33
EW0164,31,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33
EW0175,32,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33
FE8235,0,1,0,1,1,0,0,0,0,0,0,3,0,1,5,0,10,0,0,0,33
FK6304,0,4,0,17,0,0,0,0,0,10,0,2,0,0,0,0,0,0,0,0,33
022M20A,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32
039B21A,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32
053E21A,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32
EW0216,0,0,31,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,32
EW9127,3,1,0,2,0,0,0,0,3,0,18,2,0,2,0,1,0,0,0,0,32
FA9095,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,32
FF2593,31,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,32
FL3209,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32
011L20A,27,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,31
