# ----------------------------------------
# HowBadIsMyBatch
# Batchcode By Country-Country By Clicked Batchcode
# 20230125-20230325
# ----------------------------------------

Country,United States,Germany,Canada,United Kingdom,Italy,Totals
Clicked Batchcode,Event count,Event count,Event count,Event count,Event count,Event count
011J20A/MODERNA,1,0,0,0,0,1
011J20A011J20A,1,0,0,0,0,1
011J20A1,1,0,0,0,0,1
011J20AA,1,0,0,0,0,1
011J20AM,1,0,0,0,0,1
011J20AQ,1,0,0,0,0,1
011L20A(M),1,0,0,0,0,1
011M20A,1,0,0,0,0,1
011M20A 02/02/2,0,0,0,0,0,1
012H21B,1,0,0,0,0,1
012M20A,1,0,0,0,0,1
012N20A,1,0,0,0,0,1
014C21A,1,0,0,0,0,1
014M20A,0,0,0,0,0,1
016521-2A,1,0,0,0,0,1
016C21A TX,1,0,0,0,0,1
016G21A,0,0,0,0,1,1
016S21-29,1,0,0,0,0,1
017B21A,1,0,0,0,0,1
017F211A,0,0,0,0,0,1
018B21A,1,0,0,0,0,1
018F21A,1,0,0,0,0,1
0191D21A,1,0,0,0,0,1
019B21A,1,0,0,0,0,1
019J21A,0,0,0,0,0,1
01DE,0,1,0,0,0,1
01UB21A,0,0,0,0,0,1
01W20A,0,0,0,0,0,1
020F21A,1,0,0,0,0,1
021AB1,0,0,0,0,0,1
021B21A-1,1,0,0,0,0,1
021B21A/MODERNA,1,0,0,0,0,1
022B21A,1,0,0,0,0,1
022M20A/032B21A,1,0,0,0,0,1
023C214,1,0,0,0,0,1
024D21A,0,0,0,0,0,1
024M20H,1,0,0,0,0,1
025A21A,0,1,0,0,0,1
025B21A,1,0,0,0,0,1
026220A,1,0,0,0,0,1
026A21A,0,0,0,0,0,1
026C21A,0,0,0,0,0,1
027021A,1,0,0,0,0,1
027C21A (PINH),1,0,0,0,0,1
027H21B,0,1,0,0,0,1
027L21A,1,0,0,0,0,1
028A21A,1,0,0,0,0,1
029H21B,1,0,0,0,0,1
030B21A,1,0,0,0,0,1
030L20A,0,0,0,0,0,1
031209C21A,0,0,0,0,0,1
031A21A,1,0,0,0,0,1
031M20A,0,0,0,0,0,1
0320308D,1,0,0,0,0,1
032B21A,1,0,0,0,0,1
032B21A (4/15/2,1,0,0,0,0,1
032B21A.,1,0,0,0,0,1
032B21AKCHD,1,0,0,0,0,1
032H20A,1,0,0,0,0,1
032H21AQ,1,0,0,0,0,1
0330308D,1,0,0,0,0,1
036B21A,1,0,0,0,0,1
036C21A,0,0,0,0,0,1
037A21B.,1,0,0,0,0,1
037K20A NRG,1,0,0,0,0,1
037L20A,1,0,0,0,0,1
038B21A,1,0,0,0,0,1
040AZIA,1,0,0,0,0,1
041J21A,1,0,0,0,0,1
041J21A (ILLEGI,1,0,0,0,0,1
042G21A,0,0,0,0,0,1
04321A,0,0,0,0,0,1
043L20A,1,0,0,0,0,1
044B21A AND THE,1,0,0,0,0,1
"044B21A,",1,0,0,0,0,1
044B21A.,1,0,0,0,0,1
044B21AA,1,0,0,0,0,1
045AX119,0,0,0,0,0,1
045B2119,0,0,0,0,0,1
0461321A,1,0,0,0,0,1
046621A,0,0,0,0,0,1
046B21A,1,0,0,0,0,1
046G1A,0,0,0,0,0,1
047B21A,1,0,0,0,0,1
048C21A,1,0,0,0,0,1
048L21A,1,0,0,0,0,1
049E21A,1,0,0,0,0,1
051C21A,1,0,0,0,0,1
052E21A,1,0,0,0,0,1
052EZ24A,0,0,0,0,0,1
053E21A1003781,1,0,0,0,0,1
053L21A,1,0,0,0,0,1
053M21A,0,0,0,0,0,1
054C21A,1,0,0,0,0,1
054R22A,1,0,0,0,0,1
0561021A,0,0,0,0,0,1
058F21A,1,0,0,0,0,1
059A22A,0,0,0,0,0,1
068721A,0,0,0,0,0,1
068F21A,0,0,0,0,0,1
069F21A,0,0,0,0,0,1
069H21A,1,0,0,0,0,1
06BF21A,0,0,0,0,0,1
06F289,0,0,0,0,0,1
072F21A_1110129,0,0,0,0,0,1
078C21A,1,0,0,0,0,1
085M21A,0,0,0,0,0,1
086721A,0,0,0,0,0,1
